小区,户型,面积,价格,单价,朝向,位置,地铁
社坛苑,3室2厅1厨2卫,117.14㎡,500,42684元/平米,南,下城 天水 ,近地铁2号线中河北路站
上尚庭,3室2厅1厨2卫,120.44㎡,610,50648元/平米,南,拱墅 申花 ,
融创金成西溪海,3室1厅1厨1卫,87.94㎡,255,28998元/平米,南,余杭 闲林 ,
新西湖小镇,2室2厅1厨1卫,89.48㎡,180,20117元/平米,南 北,余杭 闲林 ,
越秀星汇城,3室2厅1厨2卫,89㎡,160,17978元/平米,南,临安 临安 ,
新苑公寓,3室2厅1厨1卫,93.37㎡,160,17137元/平米,南,余杭 小和山 ,
三里亭苑三区,2室2厅1厨1卫,52.6㎡,185,35172元/平米,南,江干 三里亭 ,
蓝桥名苑,2室2厅1厨1卫,87.8㎡,250,28474元/平米,南,江干 九堡 ,
铭和苑新荷坊,3室2厅1厨1卫,84.18㎡,265,31481元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
世茂江滨花园碧景湾,4室2厅1厨2卫,158.9㎡,440,27691元/平米,南,钱塘新区 沿江南 ,近1号线(下沙江滨-湘湖)下沙江滨站
石板巷新村,2室2厅1厨1卫,58.4㎡,210,35959元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
德嘉金沙阳光,2室2厅1厨1卫,87.1㎡,240,27555元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)高沙路站
融创瑷颐湾,3室2厅1厨1卫,89.68㎡,325,36240元/平米,南,余杭 万达广场 ,
龙湖香醍溪岸,2室2厅1厨1卫,87.84㎡,150,17077元/平米,南,余杭 崇贤 ,
浅水湾城市花园,3室1厅1厨2卫,147㎡,715,48640元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
大塘新村,2室1厅1厨1卫,45.57㎡,182,39939元/平米,南,拱墅 湖墅 ,近1号线(临平-湘湖)西湖文化广场站
保安弄,2室1厅1厨1卫,58.48㎡,110,18810元/平米,南,余杭 临平 ,
史家埭路小区,2室2厅1厨1卫,73.5㎡,119.5,16259元/平米,南,余杭 临平 ,
登云阁,1室1厅1厨1卫,28.96㎡,100,34531元/平米,南,拱墅 拱宸桥 ,
合景天峻,3室2厅1厨2卫,89.16㎡,350,39256元/平米,南 北,余杭 未来科技城 ,
汀洲花苑北,2室1厅1厨1卫,79.84㎡,148,18538元/平米,南,余杭 临平 ,
宣徐弄8.11号,1室1厅1厨1卫,38.67㎡,175,45255元/平米,南,上城 清泰 ,近1号线(临平-湘湖)龙翔桥站
滨江城市之星,3室2厅1厨3卫,195.35㎡,1100,56310元/平米,南,江干 钱江新城 ,近地铁4号线城星路站
兴和公寓,3室1厅1厨1卫,90.75㎡,380,41874元/平米,南,下城 潮鸣 ,近地铁2号线建国北路站
越秀星汇悦城,3室2厅1厨1卫,84.22㎡,265,31466元/平米,南 北,余杭 良渚 ,
华元十六街区,2室2厅1厨1卫,63.82㎡,105,16453元/平米,南 东,钱塘新区 高教园区西 ,近1号线(下沙江滨-湘湖)文泽路站
大关东七苑,2室1厅1厨1卫,59.2㎡,216,36487元/平米,南 北,拱墅 大关 ,
融创河滨之城水澜轩,3室2厅1厨1卫,89㎡,550,61798元/平米,南,西湖 西溪 ,
九龙仓珑玺,3室1厅1厨2卫,88.17㎡,460,52172元/平米,南,拱墅 申花 ,
中豪四季公馆,3室2厅1厨1卫,102.92㎡,335,32550元/平米,北,江干 丁桥 ,
滨江江南之星,4室2厅1厨2卫,127.66㎡,530,41517元/平米,南,萧山 萧山新城区 ,
伊萨卡国际城绮风园,3室2厅1厨2卫,128.35㎡,300,23374元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)下沙江滨站
后营弄,2室1厅1厨1卫,53.88㎡,240,44544元/平米,南 北,下城 天水 ,近1号线(临平-湘湖)武林广场站
亲亲家园四期,2室1厅1厨1卫,85㎡,285,33530元/平米,南 北,余杭 三墩 ,近地铁2号线墩祥街站
萧然东路456号,3室1厅1厨1卫,57㎡,150,26316元/平米,南,萧山 萧山市区 ,近地铁2号线人民路站
锦园小区,2室1厅1厨1卫,50.72㎡,225,44362元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
林之语,3室2厅1厨2卫,131.08㎡,298,22735元/平米,南 西 北,萧山 钱江世纪城 ,
大塘新村,3室1厅1厨1卫,83.41㎡,340,40763元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
蓝色霞湾,3室1厅1厨2卫,125㎡,575,46000元/平米,南,拱墅 德胜 ,
同城印象花苑北区,3室2厅1厨2卫,82.1㎡,259,31547元/平米,南,余杭 未来科技城 ,
西仓弄,3室2厅1厨1卫,105㎡,228,21715元/平米,南,萧山 萧山市区 ,近地铁2号线人民路站
树园,1室1厅1厨1卫,38.75㎡,160,41291元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
天时苑(拱墅),2室2厅1厨1卫,87.46㎡,375,42877元/平米,南,拱墅 德胜 ,
崇化住宅区,3室1厅1厨1卫,71.62㎡,166,23178元/平米,南,萧山 萧山市区 ,
万盛商贸城公寓,2室1厅1厨1卫,38.72㎡,55,14205元/平米,南,余杭 塘栖 ,
三墩景溪北苑,2室1厅1厨1卫,61.78㎡,166,26870元/平米,南,西湖 良渚 ,
铭和苑新荷坊,2室2厅1厨1卫,88.72㎡,225,25361元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
三宝新村,2室1厅1厨1卫,51.45㎡,155,30127元/平米,南,拱墅 信义坊 ,
翠紫苑,2室1厅1厨1卫,83.9㎡,125,14899元/平米,南,临安 临安 ,
东海闲湖城印象加州,2室2厅1厨1卫,80.81㎡,210,25987元/平米,南 北,余杭 闲林 ,
久睦苑,2室2厅1厨1卫,61.43㎡,165,26860元/平米,南,江干 丁桥 ,
漾河公寓,3室1厅1厨2卫,97.79㎡,320,32724元/平米,南 北,下城 三塘 ,
天河西苑,3室2厅1厨1卫,96.21㎡,466,48436元/平米,南,西湖 文一西路 ,
合景天峻,3室2厅1厨2卫,109㎡,427,39175元/平米,南 北,余杭 未来科技城 ,
春江花月,1室1厅1厨1卫,67.63㎡,420,62103元/平米,南,上城 南星 ,近地铁4号线南星桥站
名仕家园,3室2厅1厨2卫,118.62㎡,620,52268元/平米,南 北,西湖 文一西路 ,近地铁2号线文新站
中梁百悦城,4室2厅1厨2卫,120.22㎡,215,17884元/平米,南,余杭 临平 ,
旭辉时代城,3室2厅1厨1卫,81.25㎡,190,23385元/平米,南,余杭 崇贤 ,
闲林山水紫薇苑,3室2厅1厨1卫,85.7㎡,225,26255元/平米,南 北,余杭 闲林 ,
东厦东港花苑,2室1厅1厨1卫,77.24㎡,160,20715元/平米,南 北,余杭 临平 ,
湖墅新村,2室1厅1厨1卫,50.4㎡,230,45635元/平米,南 北,拱墅 信义坊 ,
世纪嘉园,3室1厅1厨1卫,102.54㎡,198,19310元/平米,南,余杭 临平 ,
中国铁建保利像素,3室2厅1厨2卫,89㎡,230,25843元/平米,南,钱塘新区 大学城北 ,
世茂江滨花园峻景湾,3室2厅1厨2卫,134.55㎡,335,24898元/平米,南,钱塘新区 沿江南 ,
长兴苑小区,3室2厅1厨2卫,99.78㎡,300,30067元/平米,南 北,滨江 长河 ,
东厦东港花苑,3室2厅1厨1卫,86.94㎡,195,22430元/平米,南,余杭 临平 ,
景芳六区,2室1厅1厨1卫,51.42㎡,226,43952元/平米,南,江干 景芳 ,近地铁4号线新塘站
东园小区,3室1厅1厨1卫,67.69㎡,318,46979元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
中企艮山府,2室1厅1厨1卫,89.3㎡,375,41994元/平米,南,江干 景芳 ,
九曲营小区,2室1厅1厨1卫,71.83㎡,125,17403元/平米,南,余杭 临平 ,
天都花园,2室1厅1厨1卫,68.6㎡,137,19971元/平米,南,余杭 临平 ,
马塍路8号,3室0厅1厨1卫,60.42㎡,410,67859元/平米,南,西湖 文三 ,近地铁2号线沈塘桥站
蓝天公寓,2室2厅1厨1卫,83㎡,270,32531元/平米,南 北,江干 三里亭 ,近1号线(临平-湘湖)闸弄口站
景芳四区,3室1厅1厨1卫,68.75㎡,305,44364元/平米,南,江干 景芳 ,近地铁4号线新塘站
采荷街道商教苑社区,1室0厅1厨1卫,36.77㎡,215,58472元/平米,南,江干 四季青 ,近1号线(临平-湘湖)城站站
永康苑,1室0厅1厨1卫,30.25㎡,138,45620元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
西溪八方城,2室2厅1厨2卫,52㎡,150,28847元/平米,南,余杭 未来科技城 ,
景芳二区,1室1厅1厨1卫,33.69㎡,135,40072元/平米,南,江干 景芳 ,近地铁4号线景芳站
黄龙金茂悦,3室2厅1厨2卫,89.08㎡,468,52538元/平米,南,拱墅 申花 ,
东厦东港花苑,2室1厅1厨1卫,77.2㎡,170,22021元/平米,南 北,余杭 临平 ,
庭院深深,3室2厅1厨1卫,89.62㎡,190,21201元/平米,南,余杭 闲林 ,
赞成乐山红叶,3室2厅1厨1卫,91.96㎡,235,25555元/平米,南 北,余杭 闲林 ,
美政花苑,2室1厅1厨1卫,47.48㎡,185,38964元/平米,南,上城 复兴 ,近地铁4号线复兴路站
中铁九逸,3室2厅1厨1卫,87.8㎡,192,21868元/平米,南,余杭 临平 ,
阳光郡,3室1厅1厨1卫,88.57㎡,300,33872元/平米,南,拱墅 三墩 ,
珠碧苑,2室1厅1厨1卫,51.25㎡,210,40976元/平米,南 北,下城 潮鸣 ,近地铁2号线建国北路站
左邻右舍,3室2厅1厨1卫,106.75㎡,368,34474元/平米,南,江干 九堡 ,近1号线(临平-湘湖)客运中心站
冠苑小区,3室2厅1厨1卫,110.55㎡,650,58797元/平米,南 北,西湖 申花 ,近地铁2号线三坝站
风景蝶院留园,2室2厅1厨1卫,86.94㎡,308,35427元/平米,南,滨江 白马湖 ,
滨江金色家园,3室1厅1厨2卫,156.53㎡,850,54303元/平米,南 北,上城 南星 ,近地铁4号线甬江路站
滨江江南之星,3室2厅1厨2卫,89㎡,355,39888元/平米,南,萧山 萧山新城区 ,
嘉南公寓瀑水居,2室2厅1厨1卫,76.38㎡,470,61535元/平米,南,西湖 文一西路 ,近地铁2号线文新站
文一路60号,2室1厅0厨1卫,50.11㎡,295,58871元/平米,南 北,西湖 文教 ,近地铁2号线沈塘桥站
江南铭庭,2室2厅1厨1卫,87.97㎡,312,35467元/平米,南,滨江 白马湖 ,
绿城慧园,4室2厅1厨2卫,157.24㎡,896,56983元/平米,南,拱墅 申花 ,
流水苑,2室1厅1厨1卫,62.48㎡,235,37613元/平米,南,下城 流水苑 ,近1号线(临平-湘湖)打铁关站
莱茵知己,3室2厅1厨1卫,87.98㎡,225,25574元/平米,南,余杭 临平 ,
五月花城,3室2厅1厨2卫,138.12㎡,245,17739元/平米,南,余杭 星桥 ,
富力西溪悦居,3室2厅1厨1卫,89㎡,383,43034元/平米,南 北,余杭 未来科技城 ,
采荷小区红菱邨,1室1厅1厨1卫,39.38㎡,216,54851元/平米,东南,江干 采荷 ,近地铁2号线庆春广场站
嘉和银领时代,3室2厅1厨1卫,86.04㎡,186,21618元/平米,南,余杭 星桥 ,
保利东湾,2室2厅1厨1卫,89㎡,225,25281元/平米,南,钱塘新区 沿江南 ,
顺达花苑东区,3室2厅1厨2卫,121.68㎡,200,16437元/平米,南,余杭 临平 ,
中山中路315号,1室1厅1厨1卫,34.94㎡,136,38924元/平米,南,上城 湖滨 ,近1号线(临平-湘湖)定安路站
白塔人家,3室2厅1厨1卫,70.79㎡,370,52268元/平米,南,上城 复兴 ,近地铁4号线水澄桥站
尚城墅,6室4厅1厨6卫,247㎡,1600,64778元/平米,精装,滨江 浦沿 ,
闲林山水紫薇苑,3室2厅1厨1卫,88.13㎡,242,27460元/平米,南 北,余杭 闲林 ,
赞成林风映水苑,3室2厅1厨2卫,138.49㎡,830,59933元/平米,南 北,上城 南星 ,近地铁4号线甬江路站
浣纱路,2室1厅1厨1卫,46.19㎡,320,69280元/平米,南,上城 湖滨 ,近1号线(临平-湘湖)龙翔桥站
松木场河西,2室2厅1厨1卫,51.57㎡,300,58174元/平米,南 北,西湖 黄龙 ,近地铁2号线武林门站
寰宇天下,3室2厅1厨1卫,89.03㎡,480,53915元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)江陵路站
保利罗兰香谷,3室2厅1厨1卫,89.48㎡,225,25146元/平米,南,江干 丁桥 ,
通和都市枫林,3室2厅1厨1卫,123.59㎡,375,30343元/平米,南 北,下城 石桥 ,
惠都家园,2室2厅1厨1卫,83.34㎡,159,19079元/平米,南,余杭 星桥 ,
竹海水韵,3室2厅1厨1卫,88.7㎡,233,26269元/平米,南 北,余杭 闲林 ,
嘉绿西苑,2室2厅1厨1卫,72.8㎡,365,50138元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
假山新村,2室1厅1厨1卫,64.68㎡,225,34787元/平米,南 北,拱墅 德胜 ,
大关东三苑,2室1厅1厨1卫,50.24㎡,173,34435元/平米,南,拱墅 大关 ,
保利罗兰香谷,3室2厅1厨2卫,87.65㎡,250,28523元/平米,南,江干 丁桥 ,
定海西园,1室1厅1厨1卫,40.67㎡,157,38604元/平米,南 北,拱墅 拱宸桥 ,
良渚文化村探梅里B,2室2厅1厨1卫,87.62㎡,255,29103元/平米,南,余杭 良渚 ,
红街公寓,2室1厅1厨1卫,85.01㎡,325,38231元/平米,南,江干 火车东站 ,近地铁4号线新风站
塘河南村,2室1厅1厨1卫,50.92㎡,190,37314元/平米,南,拱墅 信义坊 ,
众安理想湾,2室2厅1厨1卫,80.49㎡,165,20500元/平米,南 北,余杭 临平 ,
耀江福村,2室1厅1厨1卫,72.05㎡,358,49688元/平米,南 北,上城 近江 ,近1号线(临平-湘湖)近江站
朗诗未来街区东园,3室2厅1厨1卫,84㎡,240,28572元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)翁梅站
蓝江四季晶品,3室1厅1厨1卫,86.68㎡,196,22612元/平米,南,余杭 临平 ,
美政花苑,2室2厅1厨1卫,87.87㎡,349,39718元/平米,南,上城 复兴 ,近地铁4号线复兴路站
翠苑一区,2室1厅1厨1卫,49.43㎡,225,45519元/平米,南 北,西湖 翠苑 ,近地铁2号线学院路站
欣盛东方郡东区,2室1厅1厨1卫,87.55㎡,435,49686元/平米,南,滨江 滨江区政府 ,近1号线(临平-湘湖)滨和路站
竹海水韵,3室2厅1厨1卫,87.67㎡,230,26235元/平米,南 北,余杭 闲林 ,
假山新村,2室2厅1厨1卫,83.06㎡,340,40935元/平米,北 南,拱墅 德胜 ,
雅居乐国际花园,3室2厅1厨1卫,89.05㎡,219,24593元/平米,南 北,余杭 闲林 ,
通和都市枫林,3室2厅1厨2卫,109.41㎡,295,26963元/平米,南 北,下城 石桥 ,
东海柠檬郡,4室2厅1厨2卫,171.81㎡,425,24737元/平米,南,钱塘新区 工业园南 ,
九莲新村,2室1厅1厨1卫,56.31㎡,242,42977元/平米,南,西湖 九莲 ,近地铁2号线学院路站
凤凰南苑,2室2厅1厨1卫,72㎡,315,43750元/平米,南,上城 南星 ,近地铁4号线南星桥站
江南文苑,2室2厅1厨1卫,87.66㎡,340,38787元/平米,南,滨江 浦沿 ,近地铁4号线杨家墩站
中海西溪华府,3室2厅1厨1卫,87㎡,410,47127元/平米,南 北,西湖 西溪 ,
采荷小区洁莲邨,2室1厅1厨1卫,58.61㎡,275,46921元/平米,南,江干 采荷 ,近地铁2号线庆菱路站
嘉绿文苑,3室2厅1厨2卫,119.98㎡,558,46508元/平米,南,西湖 嘉绿 ,近地铁2号线丰潭路站
亲亲家园一期,3室2厅1厨2卫,114.5㎡,330,28821元/平米,南,余杭 三墩 ,近地铁2号线墩祥街站
大华海派风景,3室2厅1厨1卫,84.73㎡,275,32457元/平米,南,余杭 万达广场 ,
师苑新村,3室2厅1厨1卫,76.17㎡,459,60260元/平米,南 北,西湖 文教 ,近地铁2号线学院路站
大浒东苑,3室1厅1厨1卫,85.09㎡,325,38195元/平米,南 西 北,拱墅 大关 ,
复地连城国际,2室2厅1厨1卫,70.09㎡,175,24968元/平米,东 南,余杭 乔司 ,近1号线(临平-湘湖)乔司站
国都公寓,2室1厅1厨1卫,55.32㎡,330,59653元/平米,南,下城 众安桥 ,近地铁2号线中河北路站
兴和公寓,3室1厅1厨1卫,90.75㎡,365,40221元/平米,南,下城 潮鸣 ,近地铁2号线建国北路站
保亿风景晨园,3室2厅1厨1卫,87.55㎡,225,25700元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)翁梅站
湖墅新村,2室1厅1厨1卫,54.89㎡,205,37348元/平米,南,拱墅 信义坊 ,
丽华公寓,4室2厅1厨2卫,131.32㎡,268,20409元/平米,南,萧山 萧山市区 ,
野风海天城,3室2厅1厨2卫,123㎡,320,26017元/平米,南,钱塘新区 沿江北 ,近1号线(下沙江滨-湘湖)云水站
嘉泰馨庭,4室2厅1厨2卫,134.75㎡,548,40668元/平米,东 南,拱墅 桥西 ,
云龙公寓,3室2厅1厨1卫,110.08㎡,440,39971元/平米,南,下城 潮鸣 ,近地铁2号线庆菱路站
万家花城二期,3室2厅1厨1卫,89.38㎡,430,48110元/平米,南,拱墅 申花 ,
良渚文化村白鹭郡东,3室2厅1厨1卫,99.6㎡,260,26105元/平米,南,余杭 良渚 ,
绿城紫桂公寓,3室2厅1厨1卫,82.88㎡,185,22322元/平米,南,余杭 星桥 ,
奥兰多小镇,3室2厅1厨2卫,135㎡,380,28149元/平米,南,萧山 湘湖 ,近1号线(临平-湘湖)湘湖站
竹海水韵,3室2厅1厨1卫,87.85㎡,239,27206元/平米,南,余杭 闲林 ,
香樟公寓,3室2厅1厨1卫,94.86㎡,415,43749元/平米,南,西湖 文三西路 ,近地铁2号线丰潭路站
金隅观澜时代天筑,5室2厅1厨4卫,234㎡,460,19659元/平米,南 北,钱塘新区 沿江南 ,
翠苑一区,3室1厅1厨1卫,65.8㎡,298,45289元/平米,南 北,西湖 翠苑 ,近地铁2号线学院路站
朝晖九区,1室1厅1厨1卫,44.64㎡,175,39203元/平米,南,下城 朝晖 ,
三塘汶园,2室2厅1厨1卫,72.61㎡,245,33742元/平米,南 西 北,下城 三塘 ,
杭州碧桂园,2室2厅1厨1卫,82.01㎡,198,24144元/平米,南 北,钱塘新区 大学城北 ,
北城枫景园,2室1厅1厨1卫,61.37㎡,155,25257元/平米,南,江干 丁桥 ,
古荡新村东区,2室1厅1厨1卫,62.08㎡,250,40271元/平米,南,西湖 古荡 ,
左邻右舍,2室2厅1厨1卫,84.93㎡,280,32969元/平米,南 北,江干 九堡 ,近1号线(临平-湘湖)客运中心站
名城燕园,3室2厅1厨1卫,87.59㎡,408,46581元/平米,南,拱墅 桥西 ,
翰林花园,3室1厅1厨1卫,112.86㎡,545,48290元/平米,南,上城 潮鸣 ,近地铁2号线庆菱路站
金地自在城求学里,3室2厅1厨1卫,89.26㎡,370,41452元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
东冠逸景花苑,3室1厅1厨1卫,85.12㎡,210,24672元/平米,南,余杭 乔司 ,近1号线(临平-湘湖)乔司站
都市春天,4室2厅1厨3卫,214.02㎡,230,10747元/平米,南,萧山 临浦 ,
复地连城国际,2室2厅1厨1卫,74.3㎡,188,25303元/平米,南,余杭 乔司 ,
贾家弄新村,2室0厅1厨1卫,45㎡,160,35556元/平米,南,拱墅 信义坊 ,
南都花园一区,4室1厅1厨1卫,93.7㎡,435,46425元/平米,南 北,西湖 文一西路 ,近地铁2号线文新站
中兴和园,2室2厅1厨1卫,86.77㎡,265,30541元/平米,南 北,滨江 彩虹城 ,
半山路,2室1厅1厨1卫,52.55㎡,152,28925元/平米,南 北,拱墅 半山 ,
江南铭庭,2室2厅1厨1卫,89㎡,300,33708元/平米,南 北,滨江 白马湖 ,
翠苑一区,2室1厅1厨1卫,47.4㎡,215,45359元/平米,南,西湖 翠苑 ,近地铁2号线学院路站
绿城西溪融庄,4室2厅1厨2卫,161.91㎡,660,40764元/平米,南,余杭 西溪 ,
金地繁华里,3室2厅1厨1卫,89.27㎡,380,42568元/平米,南 北,拱墅 申花 ,
山水人家白沙岛,4室2厅1厨2卫,169.06㎡,610,36082元/平米,南,西湖 文三西路 ,
亲亲家园一期,4室2厅1厨2卫,130㎡,355,27308元/平米,南 北,余杭 三墩 ,近地铁2号线墩祥街站
华瑞晴庐,3室1厅1厨1卫,89.7㎡,295,32888元/平米,南,萧山 萧山新城区 ,
华元蒙卡岸,3室2厅1厨2卫,128㎡,350,27344元/平米,南,余杭 翡翠城 ,
中天九溪诚品,3室2厅1厨2卫,89㎡,425,47753元/平米,南 北,西湖 之江 ,
大塘新村,1室1厅1厨1卫,45.81㎡,190,41476元/平米,南,拱墅 湖墅 ,近地铁2号线沈塘桥站
大华海派风景,3室2厅1厨1卫,85.83㎡,270,31458元/平米,南,余杭 万达广场 ,
理想康城国际,3室2厅1厨1卫,120.57㎡,323,26790元/平米,南,余杭 临平 ,
滨江万家名城,3室2厅1厨2卫,89.8㎡,340,37862元/平米,南,余杭 万达广场 ,
朝晖二区,2室1厅1厨1卫,60㎡,205,34167元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)西湖文化广场站
金地格林格林,2室1厅1厨1卫,71.72㎡,222,30954元/平米,南,江干 丁桥 ,
大关东八苑,3室1厅1厨1卫,83.56㎡,280,33509元/平米,南,拱墅 大关 ,
世茂江滨花园峻景湾,2室2厅1厨1卫,89.44㎡,240,26834元/平米,南,钱塘新区 沿江南 ,
南北西岸,3室2厅1厨1卫,87.21㎡,425,48733元/平米,南,拱墅 桥西 ,
临江花园,2室1厅1厨1卫,106㎡,365,34434元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
莫干山路90号,3室1厅1厨1卫,58.56㎡,260,44399元/平米,南,拱墅 和睦 ,
名城湖左岸,3室2厅1厨2卫,89.38㎡,390,43634元/平米,南,钱塘新区 金沙湖 ,近1号线(下沙江滨-湘湖)金沙湖站
闲林山水紫薇苑,3室2厅1厨1卫,88.79㎡,235,26467元/平米,南 北,余杭 闲林 ,
蓝天城市花园,3室2厅1厨2卫,124.76㎡,480,38474元/平米,南 北,江干 三里亭 ,近1号线(临平-湘湖)闸弄口站
银泰海威国际,3室2厅1厨2卫,133.6㎡,620,46408元/平米,南,滨江 长河 ,
中豪四季公馆,3室2厅1厨2卫,124.51㎡,385,30922元/平米,南,江干 丁桥 ,
北城枫景园,2室2厅1厨1卫,61.76㎡,173,28012元/平米,南,江干 丁桥 ,
宋都阳光国际,3室1厅1厨1卫,86.7㎡,275,31719元/平米,南,江干 九堡 ,
阳光逸城,2室1厅1厨1卫,61.48㎡,170,27652元/平米,南 北,江干 丁桥 ,
银色港湾公寓,4室2厅1厨2卫,139.3㎡,585,41996元/平米,南,滨江 彩虹城 ,近地铁4号线联庄站
近江家园四园,2室1厅1厨1卫,53.59㎡,295,55048元/平米,南 北 西,上城 近江 ,近1号线(临平-湘湖)近江站
爵士风情花园,3室2厅1厨1卫,89.96㎡,215,23900元/平米,南 北,余杭 闲林 ,
保利东湾,2室2厅1厨1卫,88.5㎡,215,24294元/平米,南 北,钱塘新区 沿江南 ,
金秋花园,2室1厅1厨1卫,69.52㎡,295,42434元/平米,南,江干 华家池 ,近地铁4号线景芳站
东园小区,2室1厅1厨1卫,53.25㎡,227,42630元/平米,南,下城 建国北路 ,近地铁2号线建国北路站
天阳美林湾,3室2厅1厨2卫,115.07㎡,350,30417元/平米,东 南 北,拱墅 申花 ,近地铁2号线三墩站
金雅苑社区,2室1厅1厨1卫,80.04㎡,249,31110元/平米,南 北,江干 九堡 ,近1号线(临平-湘湖)客运中心站
朝晖六区,3室1厅1厨1卫,63.07㎡,242,38371元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)打铁关站
莱茵知己,3室2厅1厨1卫,88.42㎡,205,23185元/平米,南,余杭 临平 ,
朝晖六区,2室1厅1厨1卫,54.96㎡,225,40939元/平米,南,下城 朝晖 ,近1号线(临平-湘湖)打铁关站
金地自在城,2室1厅1厨1卫,77.17㎡,310,40172元/平米,南,西湖 三墩 ,近地铁2号线金家渡站
亲亲家园三期,3室2厅1厨2卫,132.34㎡,408,30830元/平米,南 北,余杭 三墩 ,近地铁2号线金家渡站
铭雅苑东区,3室2厅1厨1卫,97.78㎡,282,28841元/平米,南,余杭 三墩 ,近地铁2号线金家渡站
育才东苑,3室1厅1厨1卫,77㎡,200,25975元/平米,南,萧山 萧山市区 ,
蓝桥名苑,2室2厅1厨1卫,83.61㎡,228,27270元/平米,南,江干 九堡 ,近1号线(临平-湘湖)客运中心站
盛世嘉园,4室2厅1厨2卫,153.5㎡,338,22020元/平米,南 北,余杭 闲林 ,
东冠逸景花苑,2室2厅1厨1卫,86.11㎡,200,23227元/平米,南 北,余杭 乔司 ,近1号线(临平-湘湖)乔司站
翠苑五区,2室2厅1厨1卫,78.41㎡,310,39536元/平米,南,西湖 翠苑 ,近地铁2号线古翠路站
青枫墅园,3室2厅1厨1卫,89.66㎡,235,26211元/平米,南,余杭 闲林 ,
湖漫雅筑,3室2厅1厨2卫,88.39㎡,380,42992元/平米,南,滨江 白马湖 ,
近江家园二园,3室1厅1厨1卫,95.66㎡,490,51224元/平米,南 北,上城 近江 ,近1号线(临平-湘湖)近江站
碧桂园珑悦,3室1厅1厨2卫,119㎡,565,47479元/平米,南,萧山 钱江世纪城 ,
盛世嘉园,2室2厅1厨2卫,95㎡,244,25685元/平米,南 北,余杭 闲林 ,
闲林山水紫薇苑,3室2厅1厨2卫,133.95㎡,270,20157元/平米,南,余杭 闲林 ,
荣安望江南,3室2厅1厨1卫,88.49㎡,535,60459元/平米,东 南 北,滨江 滨江区政府 ,近1号线(临平-湘湖)滨和路站
